dataset_name,node_id,timestamp,x_position,y_position,speed,time,packet_id,source_node,destination_node,hop_count,delivery_status,end_to_end_delay_ms,routing_reliability_score,forwarding_behavior_score,control_responsiveness_score,computed_trust_score,residual_energy_percent,threat_level,crypto_choice,packet_drop_ratio,rtt_variance,failed_route_replies,RF_output,LSTM_output,anomaly_score,label,state_trust,state_link_quality,state_mobility,action,reward,updated_Q_value
NODE_MOBILITY,45.0,826.292,63.526,390.523,13.689,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,387.0,896.161,1326.219,483.736,3.458,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,328.0,140.249,1064.367,363.724,6.228,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,220.0,554.036,259.692,719.795,3.634,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,217.0,108.576,137.582,1024.888,6.387,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,430.0,672.24,275.3,342.379,13.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,43.0,281.234,1470.041,496.104,18.296,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,349.0,659.423,687.841,1395.577,4.848,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,101.0,726.995,1176.121,72.854,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,48.0,768.647,954.613,691.154,14.326,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,264.0,107.741,858.62,1067.337,19.106,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,488.0,916.012,217.695,225.681,12.591,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,368.0,230.214,1419.037,71.061,5.847,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,381.0,37.413,452.014,207.308,12.884,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,359.0,554.852,867.026,1378.235,7.089,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,394.0,370.922,1049.664,13.89,19.546,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,257.0,829.79,973.85,282.483,8.594,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,65.0,808.251,1410.892,46.925,14.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,420.0,317.139,222.658,165.944,1.441,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,226.0,952.899,762.529,930.224,8.601,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,251.0,290.918,606.052,362.458,17.627,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,186.0,515.057,711.253,853.818,12.594,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,92.0,255.965,178.826,885.293,9.435,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,464.0,936.044,201.142,1274.153,18.783,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,391.0,164.608,417.113,7.112,17.226,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,322.0,44.911,457.057,1280.054,7.122,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,202.0,435.097,641.855,928.679,11.346,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,412.0,992.376,916.481,244.115,10.307,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,273.0,891.677,951.944,1159.406,13.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,222.0,748.608,617.716,1283.237,7.348,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,226.0,890.792,613.175,381.395,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,114.0,893.447,326.443,1378.191,18.341,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,47.0,518.858,882.459,681.686,18.554,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,278.0,315.929,475.561,905.137,17.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,444.0,772.012,54.09,1476.974,19.586,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,32.0,661.661,627.6,542.304,15.155,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,430.0,373.658,711.199,1219.739,15.529,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,414.0,94.467,338.389,477.599,15.489,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,139.0,746.79,858.687,1198.82,10.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,316.0,262.461,848.658,901.101,9.673,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODE_MOBILITY,83.0,936.813,1053.003,324.534,5.564,,,,,,,,,,,,,,,,,,,,,,,,,,,
